0.000140 0.000015 0.019061, 0.159468 0.016761 -0.987061
0.000133 0.000043 0.019061, 0.152498 0.049550 -0.987061
0.000122 0.000070 0.019061, 0.138864 0.080173 -0.987061
0.000104 0.000094 0.019061, 0.119161 0.107293 -0.987061
0.000082 0.000114 0.019061, 0.094249 0.129723 -0.987061
0.000057 0.000128 0.019061, 0.065219 0.146484 -0.987061
0.000029 0.000137 0.019061, 0.033338 0.156843 -0.987061
0.000000 0.000140 0.019061, -0.000000 0.160346 -0.987061
-0.000029 0.000137 0.019061, -0.033338 0.156843 -0.987061
-0.000057 0.000128 0.019061, -0.065219 0.146484 -0.987061
-0.000082 0.000114 0.019061, -0.094249 0.129723 -0.987061
-0.000104 0.000094 0.019061, -0.119161 0.107293 -0.987061
-0.000122 0.000070 0.019061, -0.138864 0.080173 -0.987061
-0.000133 0.000043 0.019061, -0.152498 0.049550 -0.987061
-0.000140 0.000015 0.019061, -0.159468 0.016761 -0.987061
-0.000140 -0.000015 0.019061, -0.159468 -0.016761 -0.987061
-0.000133 -0.000043 0.019061, -0.152498 -0.049550 -0.987061
-0.000122 -0.000070 0.019061, -0.138864 -0.080173 -0.987061
-0.000104 -0.000094 0.019061, -0.119161 -0.107293 -0.987061
-0.000082 -0.000114 0.019061, -0.094249 -0.129723 -0.987061
-0.000057 -0.000128 0.019061, -0.065219 -0.146484 -0.987061
-0.000029 -0.000137 0.019061, -0.033338 -0.156843 -0.987061
0.000000 -0.000140 0.019061, -0.000000 -0.160346 -0.987061
0.000029 -0.000137 0.019061, 0.033338 -0.156843 -0.987061
0.000057 -0.000128 0.019061, 0.065219 -0.146484 -0.987061
0.000082 -0.000114 0.019061, 0.094249 -0.129723 -0.987061
0.000104 -0.000094 0.019061, 0.119161 -0.107293 -0.987061
0.000122 -0.000070 0.019061, 0.138864 -0.080173 -0.987061
0.000133 -0.000043 0.019061, 0.152498 -0.049550 -0.987061
0.000140 -0.000015 0.019061, 0.159468 -0.016761 -0.987061
0.000281 0.000015 0.019087, 0.204446 0.021488 -0.978642
0.000349 0.000044 0.019102, 0.204446 0.021488 -0.978642
0.000272 0.000073 0.019087, 0.195511 0.063525 -0.978642
0.000333 0.000116 0.019102, 0.195511 0.063525 -0.978642
