8 30 
0.0000000000 0.0000000000 0.0009616716 
0.0002116893 0.0000000000 0.0009274714 
0.0002070634 0.0000440127 0.0009274714 
0.0001933878 0.0000861018 0.0009274714 
0.0001712602 0.0001244278 0.0009274714 
0.0001416478 0.0001573158 0.0009274714 
0.0001058446 0.0001833283 0.0009274714 
0.0000654156 0.0002013285 0.0009274714 
0.0000221276 0.0002105296 0.0009274714 
-0.0000221276 0.0002105296 0.0009274714 
-0.0000654156 0.0002013285 0.0009274714 
-0.0001058446 0.0001833283 0.0009274714 
-0.0001416478 0.0001573158 0.0009274714 
-0.0001712602 0.0001244278 0.0009274714 
-0.0001933878 0.0000861018 0.0009274714 
-0.0002070634 0.0000440127 0.0009274714 
-0.0002116893 0.0000000000 0.0009274714 
-0.0002070634 -0.0000440127 0.0009274714 
-0.0001933878 -0.0000861018 0.0009274714 
-0.0001712602 -0.0001244278 0.0009274714 
-0.0001416478 -0.0001573158 0.0009274714 
-0.0001058446 -0.0001833283 0.0009274714 
-0.0000654156 -0.0002013285 0.0009274714 
-0.0000221276 -0.0002105296 0.0009274714 
0.0000221276 -0.0002105296 0.0009274714 
0.0000654156 -0.0002013285 0.0009274714 
0.0001058446 -0.0001833283 0.0009274714 
0.0001416478 -0.0001573158 0.0009274714 
0.0001712602 -0.0001244278 0.0009274714 
0.0001933878 -0.0000861018 0.0009274714 
0.0002070634 -0.0000440127 0.0009274714 
0.0004251696 0.0000000000 0.0008828737 
0.0004158786 0.0000883977 0.0008828737 
0.0003884117 0.0001729320 0.0008828737 
0.0003439694 0.0002499084 0.0008828737 
0.0002844940 0.0003159626 0.0008828737 
0.0002125848 0.0003682076 0.0008828737 
0.0001313846 0.0004043603 0.0008828737 
0.0000444423 0.0004228404 0.0008828737 
-0.0000444423 0.0004228404 0.0008828737 
-0.0001313846 0.0004043603 0.0008828737 
-0.0002125848 0.0003682076 0.0008828737 
-0.0002844940 0.0003159626 0.0008828737 
-0.0003439694 0.0002499084 0.0008828737 
-0.0003884117 0.0001729320 0.0008828737 
-0.0004158786 0.0000883977 0.0008828737 
-0.0004251696 0.0000000000 0.0008828737 
-0.0004158786 -0.0000883977 0.0008828737 
-0.0003884117 -0.0001729320 0.0008828737 
-0.0003439694 -0.0002499084 0.0008828737 
-0.0002844940 -0.0003159626 0.0008828737 
-0.0002125848 -0.0003682076 0.0008828737 
-0.0001313846 -0.0004043603 0.0008828737 
-0.0000444423 -0.0004228404 0.0008828737 
0.0000444423 -0.0004228404 0.0008828737 
0.0001313846 -0.0004043603 0.0008828737 
0.0002125848 -0.0003682076 0.0008828737 
0.0002844940 -0.0003159626 0.0008828737 
0.0003439694 -0.0002499084 0.0008828737 
0.0003884117 -0.0001729320 0.0008828737 
0.0004158786 -0.0000883977 0.0008828737 
0.0006595254 0.0000000000 0.0008270187 
0.0006451132 0.0001371230 0.0008270187 
0.0006025064 0.0002682531 0.0008270187 
0.0005335673 0.0003876593 0.0008270187 
0.0004413086 0.0004901229 0.0008270187 
0.0003297627 0.0005711658 0.0008270187 
0.0002038046 0.0006272459 0.0008270187 
0.0000689392 0.0006559125 0.0008270187 
-0.0000689392 0.0006559125 0.0008270187 
-0.0002038046 0.0006272459 0.0008270187 
-0.0003297627 0.0005711658 0.0008270187 
-0.0004413086 0.0004901229 0.0008270187 
-0.0005335673 0.0003876593 0.0008270187 
-0.0006025064 0.0002682531 0.0008270187 
-0.0006451132 0.0001371230 0.0008270187 
-0.0006595254 0.0000000000 0.0008270187 
-0.0006451132 -0.0001371230 0.0008270187 
-0.0006025064 -0.0002682531 0.0008270187 
-0.0005335673 -0.0003876593 0.0008270187 
-0.0004413086 -0.0004901229 0.0008270187 
-0.0003297627 -0.0005711658 0.0008270187 
-0.0002038046 -0.0006272459 0.0008270187 
-0.0000689392 -0.0006559125 0.0008270187 
0.0000689392 -0.0006559125 0.0008270187 
0.0002038046 -0.0006272459 0.0008270187 
0.0003297627 -0.0005711658 0.0008270187 
0.0004413086 -0.0004901229 0.0008270187 
0.0005335673 -0.0003876593 0.0008270187 
0.0006025064 -0.0002682531 0.0008270187 
0.0006451132 -0.0001371230 0.0008270187 
0.0008013795 0.0000000000 0.0006390789 
0.0007838675 0.0001666162 0.0006390789 
0.0007320966 0.0003259504 0.0006390789 
0.0006483297 0.0004710391 0.0006390789 
0.0005362276 0.0005955411 0.0006390789 
0.0004006898 0.0006940150 0.0006390789 
0.0002476399 0.0007621572 0.0006390789 
0.0000837670 0.0007969895 0.0006390789 
-0.0000837670 0.0007969895 0.0006390789 
-0.0002476399 0.0007621572 0.0006390789 
-0.0004006898 0.0006940150 0.0006390789 
-0.0005362276 0.0005955411 0.0006390789 
-0.0006483297 0.0004710391 0.0006390789 
-0.0007320966 0.0003259504 0.0006390789 
-0.0007838675 0.0001666162 0.0006390789 
-0.0008013795 0.0000000000 0.0006390789 
-0.0007838675 -0.0001666162 0.0006390789 
-0.0007320966 -0.0003259504 0.0006390789 
-0.0006483297 -0.0004710391 0.0006390789 
-0.0005362276 -0.0005955411 0.0006390789 
-0.0004006898 -0.0006940150 0.0006390789 
-0.0002476399 -0.0007621572 0.0006390789 
-0.0000837670 -0.0007969895 0.0006390789 
0.0000837670 -0.0007969895 0.0006390789 
0.0002476399 -0.0007621572 0.0006390789 
0.0004006898 -0.0006940150 0.0006390789 
0.0005362276 -0.0005955411 0.0006390789 
0.0006483297 -0.0004710391 0.0006390789 
0.0007320966 -0.0003259504 0.0006390789 
0.0007838675 -0.0001666162 0.0006390789 
0.0009260980 0.0000000000 0.0004459853 
0.0009058605 0.0001925466 0.0004459853 
0.0008460326 0.0003766780 0.0004459853 
0.0007492290 0.0005443467 0.0004459853 
0.0006196805 0.0006882249 0.0004459853 
0.0004630490 0.0008020244 0.0004459853 
0.0002861800 0.0008807715 0.0004459853 
0.0000968036 0.0009210247 0.0004459853 
-0.0000968036 0.0009210247 0.0004459853 
-0.0002861800 0.0008807715 0.0004459853 
-0.0004630490 0.0008020244 0.0004459853 
-0.0006196805 0.0006882249 0.0004459853 
-0.0007492290 0.0005443467 0.0004459853 
-0.0008460326 0.0003766780 0.0004459853 
-0.0009058605 0.0001925466 0.0004459853 
-0.0009260980 0.0000000000 0.0004459853 
-0.0009058605 -0.0001925466 0.0004459853 
-0.0008460326 -0.0003766780 0.0004459853 
-0.0007492290 -0.0005443467 0.0004459853 
-0.0006196805 -0.0006882249 0.0004459853 
-0.0004630490 -0.0008020244 0.0004459853 
-0.0002861800 -0.0008807715 0.0004459853 
-0.0000968036 -0.0009210247 0.0004459853 
0.0000968036 -0.0009210247 0.0004459853 
0.0002861800 -0.0008807715 0.0004459853 
0.0004630490 -0.0008020244 0.0004459853 
0.0006196805 -0.0006882249 0.0004459853 
0.0007492290 -0.0005443467 0.0004459853 
0.0008460326 -0.0003766780 0.0004459853 
0.0009058605 -0.0001925466 0.0004459853 
0.0010200015 0.0000000000 0.0002328087 
0.0009977121 0.0002120702 0.0002328087 
0.0009318178 0.0004148720 0.0002328087 
0.0008251986 0.0005995419 0.0002328087 
0.0006825142 0.0007580089 0.0002328087 
0.0005100008 0.0008833472 0.0002328087 
0.0003151978 0.0009700791 0.0002328087 
0.0001066192 0.0010144139 0.0002328087 
-0.0001066192 0.0010144139 0.0002328087 
-0.0003151978 0.0009700791 0.0002328087 
-0.0005100008 0.0008833472 0.0002328087 
-0.0006825142 0.0007580089 0.0002328087 
-0.0008251986 0.0005995419 0.0002328087 
-0.0009318178 0.0004148720 0.0002328087 
-0.0009977121 0.0002120702 0.0002328087 
-0.0010200015 0.0000000000 0.0002328087 
-0.0009977121 -0.0002120702 0.0002328087 
-0.0009318178 -0.0004148720 0.0002328087 
-0.0008251986 -0.0005995419 0.0002328087 
-0.0006825142 -0.0007580089 0.0002328087 
-0.0005100008 -0.0008833472 0.0002328087 
-0.0003151978 -0.0009700791 0.0002328087 
-0.0001066192 -0.0010144139 0.0002328087 
0.0001066192 -0.0010144139 0.0002328087 
0.0003151978 -0.0009700791 0.0002328087 
0.0005100008 -0.0008833472 0.0002328087 
0.0006825142 -0.0007580089 0.0002328087 
0.0008251986 -0.0005995419 0.0002328087 
0.0009318178 -0.0004148720 0.0002328087 
0.0009977121 -0.0002120702 0.0002328087 
0.0008437956 0.0000000000 0.0000000000 
0.0008253566 0.0001754350 0.0000000000 
0.0007708456 0.0003432026 0.0000000000 
0.0006826450 0.0004959706 0.0000000000 
0.0005646094 0.0006270623 0.0000000000 
0.0004218978 0.0007307484 0.0000000000 
0.0002607472 0.0008024973 0.0000000000 
0.0000882007 0.0008391732 0.0000000000 
-0.0000882007 0.0008391732 0.0000000000 
-0.0002607472 0.0008024973 0.0000000000 
-0.0004218978 0.0007307484 0.0000000000 
-0.0005646094 0.0006270623 0.0000000000 
-0.0006826450 0.0004959706 0.0000000000 
-0.0007708456 0.0003432026 0.0000000000 
-0.0008253566 0.0001754350 0.0000000000 
-0.0008437956 0.0000000000 0.0000000000 
-0.0008253566 -0.0001754350 0.0000000000 
-0.0007708456 -0.0003432026 0.0000000000 
-0.0006826450 -0.0004959706 0.0000000000 
-0.0005646094 -0.0006270623 0.0000000000 
-0.0004218978 -0.0007307484 0.0000000000 
-0.0002607472 -0.0008024973 0.0000000000 
-0.0000882007 -0.0008391732 0.0000000000 
0.0000882007 -0.0008391732 0.0000000000 
0.0002607472 -0.0008024973 0.0000000000 
0.0004218978 -0.0007307484 0.0000000000 
0.0005646094 -0.0006270623 0.0000000000 
0.0006826450 -0.0004959706 0.0000000000 
0.0007708456 -0.0003432026 0.0000000000 
0.0008253566 -0.0001754350 0.0000000000 

