0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000002 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033127 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033128 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033128 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033128 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033128 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033128 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000003 -0.000000 0.020000, -0.033128 -0.000000 0.070000, 
