index,x,y
1,46,835
2,47,813
3,48,792
4,50,779
5,55,761
6,58,740
7,65,724
8,75,701
9,84,691
10,92,675
11,103,659
12,116,643
13,129,631
14,144,617
15,161,605
16,177,591
17,195,580
18,213,565
19,235,554
20,259,540
21,280,527
22,305,511
23,322,503
24,348,490
25,371,485
26,395,475
27,418,469
28,438,459
29,464,449
30,482,447
31,508,436
32,530,426
33,553,423
34,580,418
35,597,417
36,618,416
37,639,414
38,659,413
39,681,411
40,702,410
41,735,410
42,758,407
43,782,407
44,806,406
45,827,405
46,845,405
47,859,405
48,879,404
49,906,404
50,926,404
51,945,405
52,970,408
53,992,410
54,1013,413
55,1034,416
56,1060,424
57,1082,429
58,1107,436
59,1131,440
60,1150,446
61,1176,453
62,1193,459
63,1211,466
64,1236,478
65,1260,492
66,1277,502
67,1292,512
68,1305,522
69,1322,531
76,1468,698
77,1453,677
78,1440,657
79,1427,635
80,1412,615
81,1394,599
82,1382,585
83,1367,568
84,1356,555
85,1480,806
86,1480,782
87,1480,749
88,1478,720
89,1472,703
90,1249,484
91,1097,426
