0.000335 0.000109 0.054979, -0.055633 -0.018076 -0.998288
0.000207 0.000285 0.054979, -0.034383 -0.047324 -0.998288
0.000000 0.000352 0.054979, -0.000000 -0.058496 -0.998288
-0.000207 0.000285 0.054979, 0.034383 -0.047324 -0.998288
-0.000335 0.000109 0.054979, 0.055633 -0.018076 -0.998288
-0.000335 -0.000109 0.054979, 0.055633 0.018076 -0.998288
-0.000207 -0.000285 0.054979, 0.034383 0.047324 -0.998288
-0.000000 -0.000352 0.054979, -0.000000 0.058496 -0.998288
0.000207 -0.000285 0.054979, -0.034383 0.047324 -0.998288
0.000335 -0.000109 0.054979, -0.055633 0.018076 -0.998288
0.000705 0.000109 0.054938, -0.166687 -0.054160 -0.984521
0.000820 0.000327 0.054906, -0.166687 -0.054160 -0.984521
0.000507 0.000503 0.054938, -0.103018 -0.141792 -0.984521
0.000471 0.000746 0.054906, -0.103018 -0.141792 -0.984521
0.000114 0.000704 0.054938, -0.000000 -0.175265 -0.984521
-0.000057 0.000881 0.054906, -0.000000 -0.175265 -0.984521
-0.000321 0.000637 0.054938, 0.103018 -0.141792 -0.984521
-0.000564 0.000679 0.054906, 0.103018 -0.141792 -0.984521
-0.000635 0.000327 0.054938, 0.166687 -0.054160 -0.984521
-0.000855 0.000218 0.054906, 0.166687 -0.054160 -0.984521
-0.000705 -0.000109 0.054938, 0.166687 0.054160 -0.984521
-0.000820 -0.000327 0.054906, 0.166687 0.054160 -0.984521
-0.000507 -0.000503 0.054938, 0.103018 0.141792 -0.984521
-0.000471 -0.000746 0.054906, 0.103018 0.141792 -0.984521
-0.000114 -0.000704 0.054938, 0.000000 0.175265 -0.984521
0.000057 -0.000881 0.054906, -0.000000 0.175265 -0.984521
0.000321 -0.000637 0.054938, -0.103018 0.141792 -0.984521
0.000564 -0.000679 0.054906, -0.103018 0.141792 -0.984521
0.000635 -0.000327 0.054938, -0.166687 0.054160 -0.984521
0.000855 -0.000218 0.054906, -0.166687 0.054160 -0.984521
0.001226 0.000218 0.054821, -0.277113 -0.090040 -0.956609
0.001305 0.000544 0.054768, -0.277113 -0.090040 -0.956609
0.000864 0.000896 0.054821, -0.171266 -0.235727 -0.956609
0.000736 0.001207 0.054768, -0.171266 -0.235727 -0.956609
0.000172 0.001233 0.054821, -0.000000 -0.291374 -0.956609
-0.000114 0.001409 0.054768, -0.000000 -0.291374 -0.956609
-0.000586 0.001098 0.054821, 0.171266 -0.235727 -0.956609
-0.000921 0.001073 0.054768, 0.171266 -0.235727 -0.956609
-0.001119 0.000544 0.054821, 0.277113 -0.090040 -0.956609
-0.001375 0.000327 0.054768, 0.277113 -0.090040 -0.956609
-0.001226 -0.000218 0.054821, 0.277113 0.090040 -0.956609
-0.001305 -0.000544 0.054768, 0.277113 0.090040 -0.956609
-0.000864 -0.000896 0.054821, 0.171266 0.235727 -0.956609
-0.000736 -0.001207 0.054768, 0.171266 0.235727 -0.956609
-0.000172 -0.001233 0.054821, 0.000000 0.291374 -0.956609
0.000114 -0.001409 0.054768, 0.000000 0.291374 -0.956609
0.000586 -0.001098 0.054821, -0.171266 0.235727 -0.956609
0.000921 -0.001073 0.054768, -0.171266 0.235727 -0.956609
0.001119 -0.000544 0.054821, -0.277113 0.090040 -0.956609
0.001375 -0.000327 0.054768, -0.277113 0.090040 -0.956609
0.001746 0.000327 0.054636, -0.386514 -0.125586 -0.913693
0.001789 0.000762 0.054557, -0.386514 -0.125586 -0.913693
0.001220 0.001290 0.054636, -0.238879 -0.328788 -0.913693
0.001000 0.001668 0.054557, -0.238879 -0.328788 -0.913693
0.000229 0.001761 0.054636, -0.000000 -0.406405 -0.913693
-0.000172 0.001937 0.054557, -0.000000 -0.406405 -0.913693
-0.000850 0.001559 0.054636, 0.238879 -0.328788 -0.913693
-0.001278 0.001466 0.054557, 0.238879 -0.328788 -0.913693
-0.001604 0.000762 0.054636, 0.386514 -0.125586 -0.913693
-0.001896 0.000435 0.054557, 0.386514 -0.125586 -0.913693
-0.001746 -0.000327 0.054636, 0.386514 0.125586 -0.913693
-0.001789 -0.000762 0.054557, 0.386514 0.125586 -0.913693
-0.001220 -0.001290 0.054636, 0.238879 0.328788 -0.913693
-0.001000 -0.001668 0.054557, 0.238879 0.328788 -0.913693
-0.000229 -0.001761 0.054636, 0.000000 0.406405 -0.913693
0.000172 -0.001937 0.054557, -0.000000 0.406405 -0.913693
0.000850 -0.001559 0.054636, -0.238879 0.328788 -0.913693
0.001278 -0.001466 0.054557, -0.238879 0.328788 -0.913693
0.001604 -0.000762 0.054636, -0.386514 0.125586 -0.913693
0.001896 -0.000435 0.054557, -0.386514 0.125586 -0.913693
0.002266 0.000435 0.054372, -0.494523 -0.160680 -0.854183
0.002274 0.000980 0.054265, -0.494523 -0.160680 -0.854183
