0.000000000000000 0.000000000000000 0.055000000000000 , 0.000555555555556 0.000000000000000 0.054969039950000 , 0.000449453885764 0.000326547362385 0.054969039950000 
0.000000000000000 0.000000000000000 0.055000000000000 , 0.000449453885764 0.000326547362385 0.054969039950000 , 0.000171676107986 0.000528364731275 0.054969039950000 
0.000000000000000 0.000000000000000 0.055000000000000 , 0.000171676107986 0.000528364731275 0.054969039950000 , -0.000171676107986 0.000528364731275 0.054969039950000 
0.000000000000000 0.000000000000000 0.055000000000000 , -0.000171676107986 0.000528364731275 0.054969039950000 , -0.000449453885764 0.000326547362385 0.054969039950000 
0.000000000000000 0.000000000000000 0.055000000000000 , -0.000449453885764 0.000326547362385 0.054969039950000 , -0.000555555555556 0.000000000000000 0.054969039950000 
0.000000000000000 0.000000000000000 0.055000000000000 , -0.000555555555556 0.000000000000000 0.054969039950000 , -0.000449453885764 -0.000326547362385 0.054969039950000 
0.000000000000000 0.000000000000000 0.055000000000000 , -0.000449453885764 -0.000326547362385 0.054969039950000 , -0.000171676107986 -0.000528364731275 0.054969039950000 
0.000000000000000 0.000000000000000 0.055000000000000 , -0.000171676107986 -0.000528364731275 0.054969039950000 , 0.000171676107986 -0.000528364731275 0.054969039950000 
0.000000000000000 0.000000000000000 0.055000000000000 , 0.000171676107986 -0.000528364731275 0.054969039950000 , 0.000449453885764 -0.000326547362385 0.054969039950000 
0.000000000000000 0.000000000000000 0.055000000000000 , 0.000449453885764 -0.000326547362385 0.054969039950000 , 0.000555555555556 0.000000000000000 0.054969039950000 
0.000555555555556 0.000000000000000 0.054969039950000 , 0.000449453885764 0.000326547362385 0.054969039950000 , 0.001111111111111 0.000000000000000 0.054874980215218 
0.000449453885764 0.000326547362385 0.054969039950000 , 0.001111111111111 0.000000000000000 0.054874980215218 , 0.000898907771528 0.000653094724769 0.054874980215218 
0.000449453885764 0.000326547362385 0.054969039950000 , 0.000171676107986 0.000528364731275 0.054969039950000 , 0.000898907771528 0.000653094724769 0.054874980215218 
0.000171676107986 0.000528364731275 0.054969039950000 , 0.000898907771528 0.000653094724769 0.054874980215218 , 0.000343352215972 0.001056729462550 0.054874980215218 
0.000171676107986 0.000528364731275 0.054969039950000 , -0.000171676107986 0.000528364731275 0.054969039950000 , 0.000343352215972 0.001056729462550 0.054874980215218 
-0.000171676107986 0.000528364731275 0.054969039950000 , 0.000343352215972 0.001056729462550 0.054874980215218 , -0.000343352215972 0.001056729462550 0.054874980215218 
-0.000171676107986 0.000528364731275 0.054969039950000 , -0.000449453885764 0.000326547362385 0.054969039950000 , -0.000343352215972 0.001056729462550 0.054874980215218 
-0.000449453885764 0.000326547362385 0.054969039950000 , -0.000343352215972 0.001056729462550 0.054874980215218 , -0.000898907771528 0.000653094724769 0.054874980215218 
-0.000449453885764 0.000326547362385 0.054969039950000 , -0.000555555555556 0.000000000000000 0.054969039950000 , -0.000898907771528 0.000653094724769 0.054874980215218 
-0.000555555555556 0.000000000000000 0.054969039950000 , -0.000898907771528 0.000653094724769 0.054874980215218 , -0.001111111111111 0.000000000000000 0.054874980215218 
-0.000555555555556 0.000000000000000 0.054969039950000 , -0.000449453885764 -0.000326547362385 0.054969039950000 , -0.001111111111111 0.000000000000000 0.054874980215218 
-0.000449453885764 -0.000326547362385 0.054969039950000 , -0.001111111111111 0.000000000000000 0.054874980215218 , -0.000898907771528 -0.000653094724769 0.054874980215218 
-0.000449453885764 -0.000326547362385 0.054969039950000 , -0.000171676107986 -0.000528364731275 0.054969039950000 , -0.000898907771528 -0.000653094724769 0.054874980215218 
-0.000171676107986 -0.000528364731275 0.054969039950000 , -0.000898907771528 -0.000653094724769 0.054874980215218 , -0.000343352215972 -0.001056729462550 0.054874980215218 
-0.000171676107986 -0.000528364731275 0.054969039950000 , 0.000171676107986 -0.000528364731275 0.054969039950000 , -0.000343352215972 -0.001056729462550 0.054874980215218 
0.000171676107986 -0.000528364731275 0.054969039950000 , -0.000343352215972 -0.001056729462550 0.054874980215218 , 0.000343352215972 -0.001056729462550 0.054874980215218 
0.000171676107986 -0.000528364731275 0.054969039950000 , 0.000449453885764 -0.000326547362385 0.054969039950000 , 0.000343352215972 -0.001056729462550 0.054874980215218 
0.000449453885764 -0.000326547362385 0.054969039950000 , 0.000343352215972 -0.001056729462550 0.054874980215218 , 0.000898907771528 -0.000653094724769 0.054874980215218 
0.000449453885764 -0.000326547362385 0.054969039950000 , 0.000555555555556 0.000000000000000 0.054969039950000 , 0.000898907771528 -0.000653094724769 0.054874980215218 
0.000555555555556 0.000000000000000 0.054969039950000 , 0.000898907771528 -0.000653094724769 0.054874980215218 , 0.001111111111111 0.000000000000000 0.054874980215218 
0.001111111111111 0.000000000000000 0.054874980215218 , 0.000898907771528 0.000653094724769 0.054874980215218 , 0.001666666666667 0.000000000000000 0.054714045207910 
0.000898907771528 0.000653094724769 0.054874980215218 , 0.001666666666667 0.000000000000000 0.054714045207910 , 0.001348361657292 0.000979642087154 0.054714045207910 
0.000898907771528 0.000653094724769 0.054874980215218 , 0.000343352215972 0.001056729462550 0.054874980215218 , 0.001348361657292 0.000979642087154 0.054714045207910 
